mKate,EBFP2,gRNA,uORF,EYFP,cellCount
9440.6088,7498.9421,1,1,234718.3578,179
9440.6088,74989.4209,1,1,1631304.413,191
9440.6088,749894.2093,1,1,4821805.154,31
105925.3725,13335.2143,1,2,241539.2075,80
105925.3725,133352.1432,1,2,621054.4967,429
105925.3725,1333521.432,1,2,10180779.77,174
105925.3725,23713.7371,1,2,229225.3836,196
105925.3725,237137.3706,1,2,1306804.928,367
105925.3725,2371373.706,1,2,8753534.863,177
105925.3725,42169.6503,1,2,242496.7275,389
105925.3725,421696.5034,1,2,2889717.449,331
105925.3725,4216965.034,1,2,5524375.984,97
105925.3725,74989.4209,1,2,404652.4141,442
105925.3725,749894.2093,1,2,7083996.177,242
1188.5022,133.3521,1,2,376238.4743,31
1188.5022,1333.5214,1,2,165768.4731,386
1188.5022,13335.2143,1,2,231118.0274,227
1188.5022,237.1374,1,2,99168.9055,47
1188.5022,2371.3737,1,2,162072.1905,712
1188.5022,23713.7371,1,2,271566.2165,83
1188.5022,421.6965,1,2,124502.0212,177
1188.5022,4216.965,1,2,164532.9424,926
1188.5022,42169.6503,1,2,447536.1652,58
1188.5022,749.8942,1,2,147094.196,184
1188.5022,7498.9421,1,2,181412.3499,750
1188.5022,74989.4209,1,2,570703.1171,40
13335.2143,1333.5214,1,2,200029.2985,32
13335.2143,13335.2143,1,2,161266.7425,393
13335.2143,133352.1432,1,2,592720.9365,118
13335.2143,1333521.432,1,2,1489467.979,58
13335.2143,2371.3737,1,2,167666.1388,69
13335.2143,23713.7371,1,2,194196.6461,360
13335.2143,237137.3706,1,2,832742.5265,110
13335.2143,2371373.706,1,2,1740624.828,28
13335.2143,4216.965,1,2,143224.0097,139
13335.2143,42169.6503,1,2,338420.3192,215
13335.2143,421696.5034,1,2,1127487.647,100
13335.2143,7498.9421,1,2,136367.1407,284
13335.2143,74989.4209,1,2,555892.8537,166
13335.2143,749894.2093,1,2,1072447.397,87
149623.5656,13335.2143,1,2,233498.5509,22
149623.5656,133352.1432,1,2,808991.1342,384
149623.5656,1333521.432,1,2,11529443.28,120
149623.5656,23713.7371,1,2,276777.5893,115
149623.5656,237137.3706,1,2,1422085.774,322
149623.5656,2371373.706,1,2,9160328.989,134
149623.5656,42169.6503,1,2,357157.318,251
149623.5656,421696.5034,1,2,4531572.507,221
149623.5656,4216965.034,1,2,5389686.834,85
149623.5656,74989.4209,1,2,468528.6866,364
149623.5656,749894.2093,1,2,9450051.888,152
1678.804,133.3521,1,2,213968.3568,72
1678.804,1333.5214,1,2,145892.7064,351
1678.804,13335.2143,1,2,195494.4315,321
1678.804,133352.1432,1,2,671237.3328,32
1678.804,2371.3737,1,2,161991.9143,725
1678.804,23713.7371,1,2,240055.8209,118
1678.804,421.6965,1,2,152131.5397,145
1678.804,4216.965,1,2,166244.48,1062
1678.804,42169.6503,1,2,405650.3985,82
1678.804,749.8942,1,2,179021.7907,171
1678.804,7498.9421,1,2,186215.0641,943
1678.804,74989.4209,1,2,429019.011,52
18836.4909,1333.5214,1,2,152430.8479,22
18836.4909,13335.2143,1,2,150473.324,419
18836.4909,133352.1432,1,2,977862.5376,140
18836.4909,1333521.432,1,2,1707264.786,109
18836.4909,2371.3737,1,2,124111.3381,51
18836.4909,23713.7371,1,2,188094.9814,424
18836.4909,237137.3706,1,2,851962.185,168
18836.4909,2371373.706,1,2,2108126.694,73
18836.4909,4216.965,1,2,123079.9728,109
18836.4909,42169.6503,1,2,285033.948,292
18836.4909,421696.5034,1,2,1325776.543,154
18836.4909,7498.9421,1,2,148305.5844,228
18836.4909,74989.4209,1,2,553794.3865,179
18836.4909,749894.2093,1,2,1223008.654,134
211348.904,133352.1432,1,2,916377.0869,329
211348.904,1333521.432,1,2,15806325.31,58
211348.904,23713.7371,1,2,460221.481,43
211348.904,237137.3706,1,2,1963945.664,263
211348.904,2371373.706,1,2,10653373.77,75
211348.904,42169.6503,1,2,545631.4009,132
211348.904,421696.5034,1,2,3810745.75,155
211348.904,4216965.034,1,2,11009557.26,51
211348.904,74989.4209,1,2,659281.1168,267
211348.904,749894.2093,1,2,9498947.644,82
2371.3737,133.3521,1,2,148713.8046,61
2371.3737,1333.5214,1,2,149937.6976,255
2371.3737,13335.2143,1,2,223328.1124,360
2371.3737,133352.1432,1,2,499116.432,38
2371.3737,2371.3737,1,2,158231.8795,590
2371.3737,23713.7371,1,2,267658.5551,151
2371.3737,421.6965,1,2,153608.4417,114
2371.3737,4216.965,1,2,180225.1974,908
